time,layout.data_offset,data[0],data[1],data[2]
247899631,0,1.0699999999999998,4.3,0.8630279716780213
252491896,0,1.5544999999999998,4.3,0.8632094009877991
487119646,0,1.9663249999999999,4.3,0.8870430205976544
738124631,0,2.31637625,4.3,0.9193537491509481
984017461,0,2.6139198125,4.3,0.9524639687742003
1236796880,0,2.8668318406249997,4.3,0.9878913612349146
1475004203,0,3.0818070645312496,4.3,1.0277047377379591
1726541307,0,3.2645360048515624,4.3,1.071481487812952
1968580940,0,3.419855604123828,4.3,1.117739140473321
2231972069,0,3.551877263505254,4.3,1.1688300012718866
2468212096,0,3.6640956739794657,4.3,1.2210936689461394
2702885195,0,3.7594813228825457,4.3,1.2746567771093884
2945135769,0,3.840559124450164,4.3,1.3274252091300658
3186056488,0,3.909475255782639,4.3,1.3796966362407912
3448860172,0,3.9680539674152433,4.3,1.4310684008641994
3694243290,0,4.017845872302956,4.3,1.4812378527013548
3931368487,0,4.0601689914575125,4.3,1.5338500333556162
4171095599,0,4.096143642738886,4.3,1.5849101559142273
4425645950,0,4.126722096328053,4.3,1.6355315932618129
4678464734,0,4.152713781878845,4.3,1.686892847639811
4918748974,0,4.174806714597018,4.3,1.7372424216552202
5178170171,0,4.193585707407466,4.3,1.787337278038441
5433384286,0,4.209547851296346,4.3,1.832751628864907
5714999601,0,4.223115673601894,4.3,1.8808098474948993
5962295637,0,4.23464832256161,4.3,1.9317352304522
6205270288,0,4.244451074177369,4.3,1.9804915886336754
6461442872,0,4.252783413050763,4.3,2.0303959803874494
6708986718,0,4.259865901093149,4.3,2.0719204598609258
6965636779,0,4.265886015929176,4.3,2.1104426392830984
7225990511,0,4.2710031135398,4.3,2.146402403802042
7476953146,0,4.27535264650883,4.3,2.1789920911886593
7732617700,0,4.279049749532506,4.3,2.2029609882398757
7993792547,0,4.28219228710263,4.3,2.2224676295114314
8262933430,0,4.284863444037235,4.3,2.242045999359047
8525464085,0,4.28713392743165,4.3,2.2690620888464976
8794471047,0,4.289063838316902,4.3,2.297883729771114
9058028349,0,4.290704262569366,4.3,2.32054618067851
9314998563,0,4.592098623183961,6.3,2.3389288988238808
9562295327,0,4.848283829706367,6.3,2.3670207393981046
9842919032,0,5.066041255250412,6.3,2.408163918695384
10092399316,0,5.25113506696285,6.3,2.458200287886221
10374537612,0,5.408464806918422,6.3,2.514949816124866
10629465768,0,5.542195085880659,6.3,2.573682208105653
