time,data
1640561,4
3489375,4
5678931,4
7422224,4
9847398,4
11620875,4
13349458,4
15060412,4
16702003,4
21105313,4
21960807,4
25138924,4
27650976,4
29696410,4
31837176,4
33767311,4
36957994,4
38454139,4
40869901,4
42902846,4
44944537,4
47027507,4
49074632,4
51400903,4
53743601,4
55571628,4
57220642,4
59566637,4
62136990,4
65703183,4
67783574,4
69900416,4
71358326,4
73590632,4
76232087,4
78401580,4
83980245,4
85824752,4
87672888,4
89668426,4
92041601,4
93819069,4
95699640,4
99234118,4
100411979,4
103400928,4
105455578,4
108368404,4
111205998,4
113979740,4
117290528,4
119662403,4
121238107,4
123289005,4
125552198,4
127842283,4
129629440,4
132322945,4
134826577,4
137707691,4
139119151,4
141478437,4
143634489,4
146317669,4
149695378,4
151323879,4
154966122,4
157399198,4
159992222,4
161775529,4
164884174,4
168262623,4
171658055,4
174966338,4
178259301,4
180411705,4
184427299,4
188071211,4
191174595,4
194484570,4
197708377,4
201063116,4
204341157,4
207232592,4
210637822,4
212856203,4
217066838,4
220217281,4
222476605,4
225019535,4
226946693,4
229724223,4
233392433,4
234433738,4
236468648,4
239610123,4
240966647,4
243689929,4
246693647,4
248589771,4
251309594,4
254232135,4
256961310,4
259029979,4
260620369,4
264124075,4
265645393,4
267713993,4
269739188,4
272994179,4
275401392,4
276888726,4
280159966,4
287921503,4
290027355,4
292098981,4
294000747,4
296191295,4
298083589,4
300037695,4
302113592,4
304034768,4
306078865,4
308034418,4
309994041,4
313670593,4
316072078,4
318418004,4
320083787,4
322609539,4
324403076,4
326767783,4
329151327,4
331375003,4
333400491,4
335689073,4
338034712,4
340410917,4
342781791,4
345401036,4
347948960,4
350318432,4
352590665,4
355013104,4
357343877,4
359921123,4
362152202,4
363828066,4
365506573,4
367129404,4
369424485,4
371731757,4
374096845,4
376518162,4
379008480,4
381328716,4
383622619,4
385259889,4
387457327,4
389849645,4
392163438,4
395114526,4
397382333,4
400788642,4
403894362,4
406728166,4
409344945,4
412308330,4
413983836,4
416329351,4
418904843,4
422211638,4
424018360,4
427299565,4
429764323,4
432549792,4
435442692,4
437068903,4
439879592,4
441983208,4
444609363,4
446983652,4
449290025,4
451984148,4
