time,layout.data_offset,data[0],data[1],data[2]
67083583,0,1.0699999999999998,4.3,0.8407169471223848
71456677,0,1.5544999999999998,4.3,0.8407169815041888
297837671,0,1.9663249999999999,4.3,0.8579460251838212
549698174,0,2.31637625,4.3,0.8859955062637961
786860146,0,2.6139198125,4.3,0.8925933837550247
1030895120,0,2.8668318406249997,4.3,0.8982253389739323
1294610575,0,3.0818070645312496,4.3,0.9238226428697307
1528580023,0,3.2645360048515624,4.3,0.9607975377808381
1772953952,0,3.419855604123828,4.3,1.0021322432015478
2005457394,0,3.551877263505254,4.3,1.0475031310509346
2267027420,0,3.6640956739794657,4.3,1.095190573820706
2497218708,0,3.7594813228825457,4.3,1.1444194562624692
2765278646,0,3.840559124450164,4.3,1.1941032745213829
3015560041,0,3.909475255782639,4.3,1.241018799532129
3250587994,0,3.9680539674152433,4.3,1.2864733553212482
3490643347,0,4.017845872302956,4.3,1.331239470968774
3732008104,0,4.0601689914575125,4.3,1.3763193583133828
3965323767,0,4.096143642738886,4.3,1.4231232960656484
4217113510,0,4.126722096328053,4.3,1.4689190593200265
4447880241,0,4.152713781878845,4.3,1.5170586163447823
4677693838,0,4.174806714597018,4.3,1.5640024417436031
4921210813,0,4.193585707407466,4.3,1.6109802359301393
5183824333,0,4.209547851296346,4.3,1.6581839578342314
5421142516,0,4.223115673601894,4.3,1.7039093998983508
5651838539,0,4.23464832256161,4.3,1.7503830353693746
5885307675,0,4.244451074177369,4.3,1.7983906258005542
6136528354,0,4.252783413050763,4.3,1.8486900753195712
6388940294,0,4.259865901093149,4.3,1.898920491961718
6631817773,0,4.265886015929176,4.3,1.9493162933921575
6875600046,0,4.2710031135398,4.3,1.990558301971686
7125533161,0,4.27535264650883,4.3,2.023184874930889
7366181257,0,4.279049749532506,4.3,2.053321045386548
7616847498,0,4.28219228710263,4.3,2.0831528731622657
7880004902,0,4.284863444037235,4.3,2.1071467125161574
8136233462,0,4.28713392743165,4.3,2.120537175120966
8385863060,0,4.289063838316902,4.3,2.130590861849261
8625919779,0,4.290704262569366,4.3,2.1479294403566738
8868100143,0,4.2920986231839615,4.3,2.1721986035313776
9116599415,0,4.293283829706367,4.3,2.1960655833981337
9386455958,0,4.294291255250412,4.3,2.212547680370668
9639395056,0,4.29514756696285,4.3,2.2350965346268206
9888996964,0,4.2958754319184225,4.3,2.25981309368111
10136991284,0,4.296494117130659,4.3,2.2774430159144674
10392085918,0,4.29701999956106,4.3,2.301252731672648
10646664134,0,4.297466999626901,4.3,2.325559496383304
10898289398,0,4.597846949682866,6.3,2.347038302067797
11142341093,0,4.853169907230436,6.3,2.3823186960665774
11396103201,0,5.070194421145871,6.3,2.4293793205773784
11642848951,0,5.25466525797399,6.3,2.482697989067893
11894035220,0,5.411465469277891,6.3,2.539461406797732
12139289300,0,5.544745648886208,6.3,2.5973063548143576
12388916831,0,5.658033801553277,6.3,2.6546426044975178
12650629984,0,5.754328731320285,6.3,2.711252468709824
12898846994,0,5.8361794216222425,6.3,2.7678761100947633
13158462812,0,5.905752508378906,6.3,2.8266173283845144
13399290757,0,5.96488963212207,6.3,2.8863469578039846
13686563914,0,6.015156187303759,6.3,2.9434422862760186
13937060578,0,6.057882759208195,6.3,2.9977581036984158
14188424984,0,6.094200345326966,6.3,3.0430177880749776
14450140969,0,6.125070293527921,6.3,3.078243628217096
14703798757,0,6.151309749498733,6.3,3.1016848449561136
14962279804,0,6.173613287073922,6.3,3.114569045696356
15210519308,0,6.192571294012834,6.3,3.1199693120168672
15471809162,0,6.2086855999109085,6.3,3.1227571387109507
15713814091,0,6.2223827599242725,6.3,3.129658226369386
15969907251,0,6.234025345935631,6.3,3.1472350403390124
16206593575,0,6.243921544045286,6.3,3.174028402641348
16444296978,0,6.252333312438493,6.3,3.2128374721464223
16686119388,0,6.259483315572719,6.3,3.2637005342407392
16932693662,0,6.265560818236811,6.3,3.3248343628105914
17189413937,0,6.27072669550129,6.3,3.3936090564817745
17420803656,0,6.275117691176097,6.3,3.468916339563653
17654651594,0,6.278850037499682,6.3,3.5452610807481406
17896968641,0,6.28202253187473,6.3,3.6164121133937703
18132368211,0,6.28471915209352,6.3,3.683985345038956
18392322680,0,6.287011279279492,6.3,3.7404648385512487
18634684954,0,6.288959587387568,6.3,3.783193059293982
18879249390,0,6.290615649279433,6.3,3.8116016112038196
19127847665,0,6.292023301887518,6.3,3.8306906704031767
19373228902,0,6.29321980660439,6.3,3.843780435022725
19627948307,0,6.294236835613732,6.3,3.855966407316792
19889190412,0,6.295101310271672,6.3,3.871940700099653
20152556954,0,6.295836113730921,6.3,3.8948798341788775
20442349266,0,6.296460696671283,6.3,3.927573981857772
20687133052,0,6.4469915921705905,7.3,3.9712264486347335
20945482226,0,6.574942853345002,7.3,4.025033108934724
21194573748,0,6.683701425343251,7.3,4.08779018812873
21443552130,0,6.776146211541763,7.3,4.157907595268095
21702128942,0,6.854724279810499,7.3,4.231961282801169
21958750229,0,6.921515637838924,7.3,4.306691847558888
22219008932,0,6.978288292163086,7.3,4.378409828867181
22461829149,0,7.0265450483386225,7.3,4.442507025934277
22715930132,0,7.067563291087829,7.3,4.496030009225071
22998728609,0,7.102428797424655,7.3,4.5356428512657265
23224293213,0,7.132064477810957,7.3,4.563704468323112
23467624677,0,7.1572548061393135,7.3,4.583416522595237
23700846022,0,7.178666585218417,7.3,4.598874478584605
23957133086,0,7.196866597435654,7.3,4.614870172730003
24221709701,0,7.212336607820306,7.3,4.634517602932526
24455624318,0,7.22548611664726,7.3,4.660460321808406
24713858186,0,7.236663199150171,7.3,4.694252387468182
