time,data
2722607,0
4621040,0
6664259,0
8907441,0
10313833,0
13591340,0
20764901,0
37001580,0
40314503,0
42469418,0
44574828,0
46027420,0
48333424,0
52441931,0
54069620,0
58371364,0
137571196,0
138240529,0
139958096,0
141818148,0
143499283,0
145682214,0
148702420,0
151651522,0
155399924,0
158336690,0
161913170,0
165617511,0
167611580,0
170576108,0
173971511,0
176719966,0
180852480,0
182950242,0
189216230,0
189234843,0
192437971,0
196172831,0
200105183,0
205305403,0
205912022,0
210642479,0
212744408,0
214146151,0
221944145,0
226393044,0
227182831,0
235415054,0
235605507,0
242815951,0
243840717,0
247943398,0
255907664,0
352764899,0
354538806,0
356251243,0
358398134,0
360111242,0
362578099,0
364000543,0
365832178,0
368185042,0
369454247,0
371204665,0
372853869,0
376917260,0
376946727,0
378081007,0
379871692,0
381651016,0
382519239,0
388416981,0
390460004,0
392347975,0
398702615,0
405506324,0
406715519,0
408511671,0
410164138,0
414670120,0
416560579,0
417729950,0
424447226,0
431129828,0
431967864,0
435331076,0
438722099,0
445961252,0
448533262,0
548073052,0
550200990,0
551829609,0
553618153,0
555560196,0
557942939,0
559813687,0
562846024,0
564123617,0
567393658,0
568122563,0
572698458,0
572735475,0
574690821,0
577270987,0
580002401,0
581385692,0
586220638,0
587964064,0
594842276,0
599432700,0
607511628,0
610426276,0
614583230,0
618870224,0
624525310,0
632892359,0
633711301,0
635481570,0
645659820,0
652627288,0
657265898,0
660772820,0
665461170,0
669031168,0
674185024,0
763088322,0
766344900,0
767917162,0
770632799,0
771344381,0
773333838,0
777064410,0
784560945,0
785511083,0
788663333,0
790403729,0
793235799,0
795284023,0
797691579,0
799580798,0
801589172,0
803614880,0
805508348,0
807555917,0
809299961,0
811924406,0
822216409,0
825040206,0
828790354,0
828960987,0
830744502,0
846265628,0
846301972,0
848809943,0
850132586,0
852796125,0
858400482,0
959391177,0
961015640,0
963695755,0
965767387,0
972113237,0
972162118,0
972341350,0
973593704,0
975670869,0
977779125,0
979804383,0
981878699,0
984087806,0
986018171,0
987969416,0
990197343,0
992597831,0
995213641,0
1003114617,0
1003909429,0
1007171881,0
1010891692,0
1015849424,0
1024709084,0
1025924728,0
1027076236,0
1032619610,0
1034113162,0
1039855349,0
1048006963,0
1048029201,0
1056104657,0
1058347083,0
1064621223,0
1068559939,0
1152004777,0
1153710002,0
1162480918,0
1162529725,0
1162572634,0
1162594145,0
1162614408,0
1164503314,0
1168130221,0
1168213961,0
1169222088,0
1171105287,0
1173262492,0
1175132412,0
1179222691,0
1184387152,0
1185387524,0
1191240232,0
1198944409,0
1204573115,0
1206763699,0
1213420756,0
1214015662,0
1216150248,0
1218061366,0
1220036181,0
1222206859,0
1225884970,0
1228592656,0
1235112906,0
1237370833,0
1237713205,0
1245673807,0
1245767132,0
1251717481,0
1252739666,0
1261438286,0
1262749787,0
1267250852,0
1269257818,0
1349697314,0
1351817460,0
1353747726,0
1355993060,0
1358005866,0
1360379284,0
1362556999,0
1363904709,0
1366360360,0
1367692014,0
1369643446,0
1371619640,0
1373612801,0
1375309762,0
1378609400,0
1379230926,0
1380676127,0
1387519827,0
1390959763,0
1393797801,0
1399262884,0
1405321051,0
1407629302,0
1408978919,0
1411318220,0
1417685947,0
1428506896,0
1435381290,0
1438037627,0
1440848266,0
1446031122,0
1453425854,0
1453453030,0
1459399032,0
1459433912,0
1459445956,0
1462074300,0
1465385061,0
1466237465,0
1468591730,0
1469677151,0
1543737001,0
1543787902,0
1544104546,0
1547859939,0
1547914290,0
1549686704,0
1552262439,0
1554264677,0
1556135356,0
1557892108,0
1559522514,0
1561518112,0
1565391426,0
1565421493,0
1566657538,0
1568362629,0
1569153204,0
1572219049,0
1580124352,0
1588416303,0
1594155417,0
1596124090,0
1599613374,0
1601536208,0
1604359125,0
1606253243,0
1612166406,0
1616379793,0
1619866777,0
1623617639,0
1625256087,0
1628204095,0
1630976587,0
1637360379,0
1638223707,0
1646261755,0
1647442877,0
1652313456,0
1657611284,0
1658521474,0
1664178071,0
1745765643,0
1747759855,0
1749584282,0
1751468697,0
1753378149,0
1755362043,0
1757427258,0
1759268003,0
1762564383,0
1763091818,0
1765249273,0
1767822237,0
1770820920,0
1775727207,0
1775747809,0
1776945781,0
1780394664,0
1780803581,0
1782866173,0
1785212993,0
1787996198,0
1790265583,0
1793244897,0
1794933235,0
1795467870,0
1801474460,0
1808277405,0
1812552865,0
1814064342,0
1819354556,0
1823252618,0
1825441701,0
1827584571,0
1828300404,0
1833822666,0
1841371487,0
1842129335,0
1846132760,0
1852725417,0
1857095926,0
1954716397,0
1957087402,0
1960823110,0
1962856867,0
1965621845,0
1967374403,0
1969862572,0
1974430990,0
1974462494,0
1977317800,0
1980197361,0
1983224845,0
1986589847,0
1990459420,0
1993746248,0
1997606363,0
2000429674,0
2005260199,0
2008092170,0
2010485646,0
2018409768,0
2018431699,0
2018444291,0
2021886539,0
2026424137,0
2029243977,0
2030896285,0
2040167124,0
2043859705,0
2046518521,0
2053515939,0
2054256248,0
2056240470,0
2064326226,0
2149171067,0
2150852615,0
2152536885,0
2154211673,0
2155850035,0
2157495923,0
2159210224,0
2161019065,0
2162876634,0
2164629630,0
2166468133,0
2168009563,0
2169714730,0
2177963397,0
2182304728,0
2186579835,0
2186617495,0
2197562256,0
2199404791,0
2207824851,0
2207866227,0
2207889639,0
2209480929,0
2213102775,0
2219072691,0
2221377997,0
2225517565,0
2231677998,0
2235338389,0
2238830508,0
2244167757,0
2246591811,0
2247793400,0
2257936707,0
2341178173,0
2341890765,0
2343534025,0
2345244717,0
2347045687,0
2348833001,0
2350619160,0
2352426290,0
2354339504,0
2355997373,0
2358159558,0
2360643943,0
2362478052,0
2364135949,0
2365833119,0
2367650269,0
2368952356,0
2369806447,0
2372859851,0
2380027463,0
2384976626,0
2390056374,0
2392597389,0
2394484094,0
2400348502,0
2404650321,0
2406445396,0
2415671233,0
2423500969,0
2426999243,0
2429381572,0
2431286628,0
2434882077,0
2436009700,0
2448459414,0
2449227333,0
2453363420,0
2460528922,0
2462952289,0
2566442223,0
2566474733,0
2567354630,0
2570993900,0
2571580803,0
2573640273,0
2575559151,0
2577648620,0
2579477319,0
2581275585,0
2583305769,0
2585287235,0
2590365601,0
2590416840,0
2594262320,0
2594313510,0
2597989170,0
2598861641,0
2614262483,0
2616287188,0
2618090859,0
2618856165,0
2633312830,0
2635112024,0
2636041180,0
2642242213,0
2648144642,0
2650014985,0
2651946375,0
2657114743,0
2658973294,0
2760267429,0
2761950449,0
2764363315,0
2767144717,0
2768359917,0
2770785129,0
2773337473,0
2775373364,0
2777757106,0
2779750236,0
2782662941,0
2785128706,0
2788790614,0
