time,layout.data_offset,data[0],data[1],data[2]
115865873,0,0.6,4.4990513801574705,0.8525478790805344
119307618,0,0.7,4.4990513801574705,0.8525686460776428
345480620,0,0.7999999999999999,4.4990513801574705,0.8619169396635705
593225157,0,0.8999999999999999,4.4990513801574705,0.8841862108976902
810201371,0,0.9999999999999999,4.4990513801574705,0.915079191570881
1015376491,0,1.0999999999999999,4.4990513801574705,0.951001414699289
1237514275,0,1.2,4.4990513801574705,0.9931035632342592
1445486906,0,1.3,4.4990513801574705,1.0416849895422502
1656754684,0,1.4000000000000001,4.4990513801574705,1.095147287029484
1877023841,0,1.5000000000000002,4.4990513801574705,1.1545933015488117
2112515254,0,1.6000000000000003,4.4990513801574705,1.2175502295954013
2324385456,0,1.7000000000000004,4.4990513801574705,1.283150256015548
2555995980,0,1.8000000000000005,4.4990513801574705,1.349206623356703
2777737398,0,1.9000000000000006,4.4990513801574705,1.4146357820632958
3002097449,0,2.0000000000000004,4.4990513801574705,1.4779384006834122
3214995058,0,2.1000000000000005,4.4990513801574705,1.5396416115326588
3422873935,0,2.2000000000000006,4.4990513801574705,1.5993721300655848
3655125129,0,2.3000000000000007,4.4990513801574705,1.655875089415443
3867263547,0,2.400000000000001,4.4990513801574705,1.7105757004294655
4105993300,0,2.500000000000001,4.4990513801574705,1.766942626931356
4331038036,0,2.600000000000001,4.4990513801574705,1.8223348832221933
4571842714,0,2.700000000000001,4.4990513801574705,1.8760725427380909
4813148368,0,2.800000000000001,4.4990513801574705,1.9376485672664476
5054638763,0,2.9000000000000012,4.4990513801574705,2.0199873842946756
5283049172,0,3.0000000000000013,4.4990513801574705,2.1098144795399043
5500376477,0,3.1000000000000014,4.4990513801574705,2.202522967748988
5754391045,0,3.2000000000000015,4.4990513801574705,2.2915953469163943
5966126596,0,3.3000000000000016,4.4990513801574705,2.370681676166849
6188491064,0,3.4000000000000017,4.4990513801574705,2.4370665348616996
6434157314,0,3.5000000000000018,4.4990513801574705,2.495509075169019
6681876637,0,3.5999051380157487,4.4990513801574705,2.5551682636817805
6900340703,0,3.689819762229921,4.4990513801574705,2.619019089081252
7131707591,0,3.770742924022676,4.4990513801574705,2.6893370758169786
7352749545,0,3.8435737696361554,4.4990513801574705,2.7665750700335674
7579001093,0,3.909121530688287,4.4990513801574705,2.8433522363951087
7809985178,0,3.968114515635205,4.4990513801574705,2.9183498836638098
8032818912,0,4.021208202087432,4.4990513801574705,2.990089058730063
8253133650,0,4.068992519894436,4.4990513801574705,3.049016314162172
8491940890,0,4.1119984059207395,4.4990513801574705,3.0953666066819117
8726386324,0,4.150703703344413,4.4990513801574705,3.131929901650983
8962091083,0,4.185538471025719,4.4990513801574705,3.16712012153268
9198116252,0,4.216889761938894,4.4990513801574705,3.208415652698973
9432030469,0,4.245105923760752,4.4990513801574705,3.255572400846411
9673756307,0,4.270500469400424,4.4990513801574705,3.305955831571879
9910427673,0,4.293355560476129,4.4990513801574705,3.35096273817005
10155825637,0,4.301213903583179,4.371938991546631,3.3945617144528417
10389395661,0,4.295686801097175,4.245942878723144,3.4457652461396675
10633522305,0,4.290712408859772,4.245942878723144,3.48500171189474
10862350865,0,4.273759393071451,4.121182250976562,3.5115303101295043
11093153032,0,4.258501678861962,4.121182250976562,3.5214748909403335
11336209461,0,4.220244642041134,3.8759313106536863,3.5223718708850433
11573280136,0,4.1858133089023895,3.8759313106536863,3.520693523099824
11796527549,0,4.154825109077519,3.8759313106536863,3.5157103057264223
12050764429,0,4.118375884253834,3.7903328608406635,3.4903328608406636
12288731315,0,4.08239647772074,3.758581818922898,3.458581818922898
12530854787,0,4.049734093780758,3.7557726383209227,3.423077982669503
12745650636,0,4.012735520137536,3.6797483573485326,3.3797483573485327
12963481155,0,3.9753064083931364,3.6384444026935414,3.3384444026935416
13208797986,0,3.9374958359938397,3.5972006844001703,3.2972006844001704
13437107410,0,3.8999039861891664,3.5615773379471087,3.261577337947109
13664868130,0,3.8622035961853514,3.522900086151017,3.222900086151017
13901056249,0,3.8242498332036634,3.482665966368471,3.182665966368471
14122296918,0,3.7862626091296026,3.4443775924630557,3.144377592463056
14367706235,0,3.749134177217837,3.414978290011947,3.114978290011947
14611724371,0,3.7134700245923637,3.392492650963106,3.092492650963106
14860436093,0,3.6784078595680327,3.3628483743490545,3.0628483743490547
15073320831,0,3.6433222878455678,3.327552142343385,3.027552142343385
15307560846,0,3.608230602440343,3.2924054337933204,2.9924054337933206
15545431986,0,3.573897112201626,3.2648957000531698,2.96489570005317
15803366040,0,3.540602975313868,3.2409557433240503,2.9409557433240505
16021155851,0,3.5078111028767367,3.212684250942556,2.912684250942556
16242834472,0,3.4751132694985656,3.180832769095026,2.880832769095026
16490711752,0,3.4426370823900228,3.1503513984131364,2.8503513984131366
16746612854,0,3.4109572913241553,3.1258391717313487,2.825839171731349
16979216428,0,3.379915860017522,3.1005429782578244,2.8005429782578246
17257356153,0,3.3502745133708802,3.0835023935511034,2.7835023935511036
17477258891,0,3.3225909237138045,3.073438616800121,2.7734386168001213
17762215312,0,3.2961467084899043,3.058148771474801,2.758148771474801
17997963463,0,3.27036404426135,3.03832006620436,2.73832006620436
18259814180,0,3.245794452151202,3.024668123159869,2.7246681231598693
18498327101,0,3.2226139322007183,3.013989252646366,2.7139892526463663
18725102986,0,3.1998840908293102,2.9953155184866396,2.6953155184866397
18964593288,0,3.1774800872840423,2.9758440553766285,2.6758440553766287
19226193696,0,3.155961903716857,2.9622982516121903,2.6622982516121905
19455647593,0,3.1356620603644143,2.952963470192431,2.6529634701924314
