time,layout.data_offset,data[0],data[1],data[2],data[3],data[4]
37394134208,0,-2.87,-2.87,-2.87,-2.87,2.87
37401031376,0,-2.87,-2.87,-2.87,-2.87,2.87
38419720013,0,-2.87,-2.87,-2.87,-2.87,2.87
39457514835,0,-2.87,-2.87,-2.87,-2.87,2.87
40427699763,0,-2.87,-2.87,-2.87,-2.87,2.87
41450780502,0,-2.87,-2.87,-2.87,-2.87,2.87
42451463870,0,-2.87,-2.87,-2.87,-2.87,2.87
43477357494,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
44496042332,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
45505326444,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
46505253125,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
47540078887,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
48534944705,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
49571564856,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
50596567605,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
51676477386,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
52669338416,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
53648091954,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
54757901381,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
55841833069,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
56970475399,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
58058736380,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
59071981766,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
60077829136,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
61100502391,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
62141364377,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
63172773378,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
64181950724,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
65213846840,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
66257391119,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
67310418178,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
68367848540,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
69391563487,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
70446278677,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
71483361048,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
72520519690,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
73578954664,0,-1.148000017106533,-1.148000017106533,-1.148000017106533,-1.148000017106533,2.87
