time,layout.data_offset,data[0],data[1],data[2]
138891161,0,0.6,1.1594637416878673,0.8594637416878672
143426481,0,0.7,1.1594637416878673,0.8594637416878672
430654013,0,0.7999999999999999,4.4990513801574705,0.8629095724791274
722789678,0,0.8999999999999999,4.4990513801574705,0.8794769309460465
1010446268,0,0.9999999999999999,4.4990513801574705,0.9046489921227848
1331265700,0,1.0999999999999999,4.4990513801574705,0.9348074652015597
1659378272,0,1.2,4.4990513801574705,0.9707437075329746
1981341476,0,1.3,4.4990513801574705,1.0133638254159203
2288962157,0,1.4000000000000001,4.4990513801574705,1.0631337642277243
2615935119,0,1.5000000000000002,4.4990513801574705,1.1181520006744152
2963813050,0,1.6000000000000003,4.4990513801574705,1.17894827939168
3287718760,0,1.7000000000000004,4.4990513801574705,1.2435287475777006
3602169712,0,1.8000000000000005,4.4990513801574705,1.3096884695705666
3915052724,0,1.9000000000000006,4.4990513801574705,1.3749718875530272
4225749396,0,2.0000000000000004,4.4990513801574705,1.4377980820210474
4542234720,0,2.1000000000000005,4.4990513801574705,1.4994614374427173
4866340957,0,2.2000000000000006,4.4990513801574705,1.5587867494062262
5192550816,0,2.3000000000000007,4.4990513801574705,1.6180777076138577
5507192702,0,2.400000000000001,4.4990513801574705,1.6810060300362242
5839211233,0,2.500000000000001,4.4990513801574705,1.74333882455956
6175986066,0,2.600000000000001,4.4990513801574705,1.8076628973328255
6510251145,0,2.700000000000001,4.4990513801574705,1.8730931248009692
6845474405,0,2.800000000000001,4.4990513801574705,1.938535624320244
7155020860,0,2.9000000000000012,4.4990513801574705,2.0091589459013552
7489839040,0,3.0000000000000013,4.4990513801574705,2.087409864132221
7836345431,0,3.1000000000000014,4.4990513801574705,2.172714462556909
8160373007,0,3.2000000000000015,4.4990513801574705,2.260429160807638
8468298659,0,3.3000000000000016,4.4990513801574705,2.3469658209070374
8785391341,0,3.4000000000000017,4.4990513801574705,2.4293586872816557
9115971950,0,3.5000000000000018,4.4990513801574705,2.4981550811882847
9436499684,0,3.600000000000002,4.4990513801574705,2.5606255176575377
9736224031,0,3.700000000000002,4.4990513801574705,2.620037985208416
10040809475,0,3.800000000000002,4.4990513801574705,2.679536701883763
10354327842,0,3.900000000000002,4.4990513801574705,2.7416519067743867
10680302863,0,4.000000000000002,4.4990513801574705,2.808469946380729
10980349050,0,4.099810276031495,4.4990513801574705,2.880552850253872
11310294555,0,4.17965849685669,4.4990513801574705,2.955090002475329
11633657851,0,4.19291537322998,4.245942878723144,3.014770988552279
11972574903,0,4.178568748779297,4.121182250976562,3.0474731666982393
